Baum ID,Nr.,Deutsche Bezeichnung,Ort,Stadtteil,Stadtviertel,Straße,Geburtsjahr,Alter,X-Koordinate,,Y-Koordinate,
BKA-21154,21154,Berg-Ahorn,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Karlsruher Straße,,,514642.476,514642476,5442414.655,5442414655
BKA-21152,21152,Berg-Ahorn,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Karlsruher Straße,,,514649.474,514649474,5442433.948,5442433948
BKA-21153,21153,Gemeine Esche,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Karlsruher Straße,,,514646.175,514646175,5442424.351,5442424351
BKA~BAUM-9897,78543,Gemeine Esche,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Badstraße,,,514620.64,514620640,5442271.12,5442271120
BKA-20583,20583,Spitz-Ahorn,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Karlsruher Straße,,,514710.458,514710458,5442737.131,5442737131
BKA-20582,20582,Spitz-Ahorn,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Karlsruher Straße,,,514712.057,514712057,5442746.528,5442746528
BKA-20581,20581,Spitz-Ahorn,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Karlsruher Straße,,,514712.257,514712257,5442766.42,5442766420
BKA-20339,20339,Spitz-Ahorn,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Karlsruher Straße,,,514716.468,514716468,5442776.307,5442776307
BKA-20338,20338,Spitz-Ahorn,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Karlsruher Straße,,,514718.555,514718555,5442786.212,5442786212
BKA-20337,20337,Spitz-Ahorn,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Karlsruher Straße,,,514720.054,514720054,5442795.808,5442795808
BKA-20334,20334,Gemeine Esche,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Karlsruher Straße,,,514719.255,514719255,5442800.306,5442800306
BKA-20335,20335,Spitz-Ahorn,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Karlsruher Straße,,,514719.015,514719015,5442804.174,5442804174
BKA-20333,20333,Gemeine Hainbuche,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Karlsruher Straße,,,514714.157,514714157,5442807.303,5442807303
BKA-20225,20225,Schwarzer Holunder,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Karlsruher Straße,,,514727.542,514727542,5442847.833,5442847833
BKA-20226,20226,Schwarzer Holunder,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Karlsruher Straße,,,514722.918,514722918,5442847.713,5442847713
BKA-20223,20223,Gelbe Trauer-Weide,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Karlsruher Straße,,,514726.99,514726990,5442857.134,5442857134
BKA-20220,20220,Walnuß,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Karlsruher Straße,,,514725.408,514725408,5442875.919,5442875919
BKA-20218,20218,Gemeine Esche,Heilbronn,HN Innenstadt,Bahnhofsvorstadt,Karlsruher Straße,,,514728.374,514728374,5442883.199,5442883199
